event_id	aggregate_id	event_key	occurred_at	published_at	publish_attempts	publish_failures	coalesce(last_error,"")
752b963b-32cc-4a71-b21c-f2c463930129	585	ORD-20260810-7E9D715DE6B6435D8F21D60F54A3FEAD	2026-08-10 15:56:56.904685	2026-08-10 15:57:11.480896	3	2	
event_id	order_id	order_number	processed_at	case when o.id is null then "ORPHAN_EVENT" else "ORDER_PRESENT" end
752b963b-32cc-4a71-b21c-f2c463930129	585	ORD-20260810-7E9D715DE6B6435D8F21D60F54A3FEAD	2026-08-11 00:57:11.913651	ORDER_PRESENT
b9091373-f1ca-42b6-9757-9eb799f10031	584	ORD-20260810-8A565C8C053745C1B287C1CF914A1AF9	2026-08-11 00:57:11.960778	ORPHAN_EVENT
